entry_time,exit_time,side,entry_price,exit_price,qty,stop_loss,take_profit,gross_pnl,fees,net_pnl,pnl_pct,bars_held,exit_reason
2025-09-07 12:00:00,2025-09-13 16:00:00,buy,111308.6265,115186.649864,0.013483,107915.41,117928.18,52.287389,1.526918,50.760471,3.382286,37,trailing_stop
2025-09-13 16:00:00,2025-09-25 16:00:00,buy,115855.89899999999,110542.43403355,0.013019,110597.7329,122745.88,-69.176,1.47374,-70.64974,-4.683977,72,stop_loss
2025-09-26 20:00:00,2025-09-29 16:00:00,sell,109654.14550000001,114319.00423665,0.013645,114261.8733,103126.46,-63.651997,1.528057,-65.180054,-4.356283,17,stop_loss
2025-09-30 08:00:00,2025-10-02 12:00:00,buy,113091.51749999999,119757.19145000001,0.013157,108916.4256,119817.1,87.700272,1.531795,86.168477,5.791106,13,take_profit
2025-10-03 04:00:00,2025-10-05 08:00:00,buy,119736.8385,123166.68585000001,0.012535,116086.69,126857.62,42.993137,1.522398,41.470739,2.763056,13,trailing_stop
2025-10-05 08:00:00,2025-10-10 12:00:00,buy,123503.72099999999,119678.87063,0.012203,119738.74,130848.52,-46.674649,1.483779,-48.158428,-3.195403,31,stop_loss
2025-10-12 04:00:00,2025-10-13 04:00:00,sell,111573.1855,116451.78069194999,0.01343,116393.5839,102099.8321,-65.519533,1.531188,-67.050721,-4.474738,6,stop_loss
2025-10-13 04:00:00,2025-10-13 12:00:00,sell,117041.45000000001,116069.63781599999,0.012717,123273.8903,108221.4633,12.358536,1.482237,10.876299,0.73073,2,trailing_stop
2025-10-13 12:00:00,2025-10-14 12:00:00,sell,114831.5555,112686.85527,0.012975,123379.5896,104601.1391,27.827485,1.476026,26.35146,1.768626,6,trailing_stop
2025-10-14 12:00:00,2025-10-17 08:00:00,sell,112743.6,106876.083336,0.013251,119360.1637,100624.4834,77.750463,1.45509,76.295373,5.106903,17,trailing_stop
2025-10-17 12:00:00,2025-10-20 20:00:00,sell,106676.63500000001,112082.27663174999,0.014112,112026.2635,96137.4729,-76.284415,1.543563,-77.827978,-5.169849,20,stop_loss
2025-10-21 00:00:00,2025-10-21 16:00:00,buy,110805.375,112470.020858,0.013494,105528.8366,118338.8454,22.462731,1.506439,20.956292,1.401564,4,trailing_stop
2025-10-21 20:00:00,2025-10-24 08:00:00,buy,110848.39649999999,112440.395678,0.013517,103480.6852,125417.6295,21.519053,1.509097,20.009956,1.335477,15,trailing_stop
2025-10-24 08:00:00,2025-10-25 08:00:00,buy,111533.73899999999,112407.80798,0.013461,105152.1808,124129.6383,11.765843,1.507239,10.258604,0.683289,6,trailing_stop
2025-10-25 08:00:00,2025-10-26 20:00:00,buy,113728.836,114649.44660000001,0.013215,106513.1987,124882.6834,12.165869,1.50901,10.65686,0.709074,9,trailing_stop
2025-10-26 20:00:00,2025-10-27 08:00:00,buy,115028.4855,116056.64265000001,0.013079,107448.7456,128161.059,13.447267,1.511181,11.936086,0.793381,3,trailing_stop
2025-10-27 08:00:00,2025-10-30 12:00:00,buy,116388.165,107399.06670345001,0.012942,107452.7931,129466.0923,-116.33691,1.448127,-117.785037,-7.819517,19,stop_loss
2025-10-30 20:00:00,2025-11-03 04:00:00,sell,108645.65000000001,107185.91017199999,0.013688,116947.9863,92204.0273,19.980919,1.477151,18.503768,1.244251,20,trailing_stop
2025-11-03 08:00:00,2025-11-04 08:00:00,sell,107424.26100000001,105387.69951600001,0.013869,115008.203,92417.594,28.245071,1.475745,26.769327,1.796759,6,trailing_stop
