entry_time,exit_time,side,entry_price,exit_price,qty,stop_loss,take_profit,gross_pnl,fees,net_pnl,pnl_pct,bars_held,exit_reason
2026-07-16 05:30:00,2026-07-17 05:45:00,sell,1932.5,1835.2,0.517464,1971.15,1835.875,50.349247,0.974825,49.374423,4.937446,291,take_profit
2026-07-17 05:45:00,2026-07-21 03:05:00,buy,1835.2,1927.8,0.54759,1798.496,1926.96,50.706834,1.030291,49.676543,4.943249,1120,take_profit
2026-07-21 03:05:00,2026-07-22 22:00:00,sell,1927.8,1937.7,0.523864,1966.356,1831.41,-5.186254,1.012498,-6.198752,-0.613796,515,end_of_data
