entry_time,exit_time,side,entry_price,exit_price,qty,stop_loss,take_profit,gross_pnl,fees,net_pnl,pnl_pct,bars_held,exit_reason
2026-07-02 15:00:00,2026-07-08 04:45:00,buy,80.373,77.35,12.441989,77.4468,84.3916,-37.612133,0.981194,-38.593327,-3.859333,535,stop_loss
2026-07-08 04:45:00,2026-07-10 08:15:00,sell,77.35,79.154,12.878354,79.1462,73.4825,-23.232551,1.007757,-24.240308,-2.433422,206,stop_loss
2026-07-10 08:45:00,2026-07-10 14:30:00,buy,79.049,77.412,12.570894,77.468,83.0015,-20.578553,0.983427,-21.561981,-2.169832,23,stop_loss
2026-07-10 15:15:00,2026-07-17 13:00:00,sell,77.916,73.616,12.726018,79.4743,74.0202,54.721877,0.964199,53.757678,5.421523,663,take_profit
2026-07-17 13:45:00,2026-07-19 01:15:00,sell,74.046,75.544,13.463742,75.5269,70.3437,-20.168686,1.007021,-21.175706,-2.124078,142,stop_loss
2026-07-19 01:30:00,2026-07-22 22:15:00,buy,75.46,77.904,13.18339,73.9508,79.233,32.220205,1.010929,31.209276,3.137183,371,end_of_data
