entry_time,exit_time,side,entry_price,exit_price,qty,stop_loss,take_profit,gross_pnl,fees,net_pnl,pnl_pct,bars_held,exit_reason
2026-07-03 01:30:00,2026-07-04 04:30:00,sell,81.456,83.745,12.276566,83.0851,77.3832,-28.10106,1.01405,-29.11511,-2.911511,108,stop_loss
2026-07-04 04:30:00,2026-07-05 09:30:00,sell,83.745,79.327,11.906245,85.4199,79.5577,52.60179,0.970788,51.631003,5.178177,116,take_profit
2026-07-05 12:15:00,2026-07-08 13:00:00,sell,80.663,76.525,12.425171,82.2763,76.6298,51.415358,0.976544,50.438814,5.03255,291,take_profit
2026-07-09 01:00:00,2026-07-17 13:00:00,sell,77.687,73.616,12.966075,79.2407,73.8026,52.784891,0.980903,51.803988,5.142879,816,take_profit
2026-07-17 13:00:00,2026-07-20 15:45:00,buy,73.616,77.504,13.753476,72.1437,77.2968,53.473515,1.039213,52.434302,5.17882,299,take_profit
2026-07-20 16:00:00,2026-07-22 22:45:00,sell,77.666,77.736,13.103794,79.2193,73.7827,-0.917266,1.018178,-1.935443,-0.190175,219,end_of_data
